name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
fabric-baseimage,https://api.github.com/repos/hyperledger/fabric-baseimage/pulls/2,https://github.com/hyperledger/fabric-baseimage/pull/2,Cleanshooter,Set different version of armv7l,The build doesn't work in yakketty the latest version of the armv7l image.,[],1,2018-03-07 19:27:41,2018-03-18 03:56:53,2018-03-18 03:56:53,False,,,unknown,,closed
fabric-baseimage,https://api.github.com/repos/hyperledger/fabric-baseimage/pulls/1,https://github.com/hyperledger/fabric-baseimage/pull/1,jkilpatr,centos7 docker baseimage,,[],1,2016-12-09 14:07:37,2016-12-09 14:07:41,2016-12-09 14:07:49,False,,,dirty,False,closed
